visitor_id,visitor_type,step,timestamp,event_type,ride_name,queue_position,wait_time,details
P000,adventurer,24,2025-10-11T03:12:15.347329,joined_queue,Ride1,8,,"{""ride_name"": ""Ride1"", ""queue_position"": 8}"
P000,adventurer,35,2025-10-11T03:12:15.491599,abandoned_queue,,,,"{""reason"": ""impatience"", ""time"": 35, ""ride_id"": ""Ride1"", ""queue_len"": 9, ""patience_at_leave"": 14}"
P000,adventurer,64,2025-10-11T03:12:16.155368,boarded_ride,Ride1,,6,"{""ride_name"": ""Ride1""}"
P000,adventurer,99,2025-10-11T03:12:16.471109,completed_ride,,,,"{""previous_ride"": ""Ride1""}"
P000,adventurer,118,2025-10-11T03:12:16.641506,joined_queue,Ride1,9,,"{""ride_name"": ""Ride1"", ""queue_position"": 9}"
P000,adventurer,129,2025-10-11T03:12:16.727267,abandoned_queue,,,,"{""reason"": ""impatience"", ""time"": 129, ""ride_id"": ""Ride1"", ""queue_len"": 8, ""patience_at_leave"": 14}"
P000,adventurer,130,2025-10-11T03:12:16.737086,joined_queue,Ride1,9,,"{""ride_name"": ""Ride1"", ""queue_position"": 9}"
P000,adventurer,137,2025-10-11T03:12:16.839482,abandoned_queue,,,,"{""reason"": ""impatience"", ""time"": 137, ""ride_id"": ""Ride1"", ""queue_len"": 9, ""patience_at_leave"": 12}"
P000,adventurer,143,2025-10-11T03:12:16.923813,joined_queue,Ride1,10,,"{""ride_name"": ""Ride1"", ""queue_position"": 10}"
P000,adventurer,146,2025-10-11T03:12:16.949368,boarded_ride,Ride1,,6,"{""ride_name"": ""Ride1""}"
P000,adventurer,181,2025-10-11T03:12:17.008254,joined_queue,Ride1,8,,"{""ride_name"": ""Ride1"", ""queue_position"": 8}"
P000,adventurer,187,2025-10-11T03:12:17.016600,boarded_ride,Ride1,,6,"{""ride_name"": ""Ride1""}"
P001,family,48,2025-10-11T03:12:15.763125,joined_queue,Ride2,8,,"{""ride_name"": ""Ride2"", ""queue_position"": 8}"
P001,family,56,2025-10-11T03:12:15.962575,abandoned_queue,,,,"{""reason"": ""impatience"", ""time"": 56, ""ride_id"": ""Ride2"", ""queue_len"": 7, ""patience_at_leave"": 10}"
P001,family,70,2025-10-11T03:12:16.225515,joined_queue,Ride2,8,,"{""ride_name"": ""Ride2"", ""queue_position"": 8}"
P001,family,77,2025-10-11T03:12:16.287962,abandoned_queue,,,,"{""reason"": ""impatience"", ""time"": 77, ""ride_id"": ""Ride2"", ""queue_len"": 8, ""patience_at_leave"": 8}"
P001,family,83,2025-10-11T03:12:16.341926,joined_queue,Ride2,8,,"{""ride_name"": ""Ride2"", ""queue_position"": 8}"
P001,family,88,2025-10-11T03:12:16.386920,boarded_ride,Ride2,,5,"{""ride_name"": ""Ride2""}"
P001,family,130,2025-10-11T03:12:16.738122,completed_ride,,,,"{""previous_ride"": ""Ride2""}"
P002,impatient,101,2025-10-11T03:12:16.496303,departed,,,,"{""total_rides"": 0}"
P003,explorer,23,2025-10-11T03:12:15.343601,joined_queue,Ride1,2,,"{""ride_name"": ""Ride1"", ""queue_position"": 2}"
P003,explorer,36,2025-10-11T03:12:15.517721,abandoned_queue,,,,"{""reason"": ""impatience"", ""time"": 36, ""ride_id"": ""Ride1"", ""queue_len"": 9, ""patience_at_leave"": 3}"
